1 1 0.001568
1 2 0.003124
1 3 0.004685
1 4 0.006237
1 5 0.007784
1 6 0.009344
1 7 0.010867
1 8 0.012353
1 9 0.013826
1 10 0.015310
1 11 0.016743
1 12 0.018161
1 13 0.019544
1 14 0.020915
1 15 0.022238
1 16 0.023530
1 17 0.024777
1 18 0.025992
1 19 0.027162
1 20 0.028283
1 21 0.029361
1 22 0.030374
1 23 0.031353
1 24 0.032286
1 25 0.033151
2 1 0.003132
2 2 0.006254
2 3 0.009376
2 4 0.012489
2 5 0.015606
2 6 0.018681
2 7 0.021724
2 8 0.024736
2 9 0.027682
2 10 0.030625
2 11 0.033515
2 12 0.036357
2 13 0.039136
2 14 0.041863
2 15 0.044511
2 16 0.047098
2 17 0.049610
2 18 0.052036
2 19 0.054369
2 20 0.056608
2 21 0.058764
2 22 0.060810
2 23 0.062770
2 24 0.064627
2 25 0.066359
3 1 0.004703
3 2 0.009394
3 3 0.014086
3 4 0.018785
3 5 0.023430
3 6 0.028038
3 7 0.032616
3 8 0.037142
3 9 0.041612
3 10 0.045984
3 11 0.050339
3 12 0.054607
3 13 0.058788
3 14 0.062874
3 15 0.066877
3 16 0.070761
3 17 0.074516
3 18 0.078174
3 19 0.081665
3 20 0.085037
3 21 0.088263
3 22 0.091352
3 23 0.094293
3 24 0.097071
3 25 0.099678
4 1 0.006278
4 2 0.012550
4 3 0.018818
4 4 0.025068
4 5 0.031274
4 6 0.037432
4 7 0.043548
4 8 0.049600
4 9 0.055578
4 10 0.061462
4 11 0.067247
4 12 0.072940
4 13 0.078543
4 14 0.084003
4 15 0.089345
4 16 0.094526
4 17 0.099556
4 18 0.104433
4 19 0.109116
4 20 0.113618
4 21 0.117923
4 22 0.122032
4 23 0.125954
4 24 0.129661
4 25 0.133160
5 1 0.007864
5 2 0.015748
5 3 0.023579
5 4 0.031402
5 5 0.039169
5 6 0.046874
5 7 0.054542
5 8 0.062127
5 9 0.069612
5 10 0.076993
5 11 0.084274
5 12 0.091394
5 13 0.098412
5 14 0.105268
5 15 0.111950
5 16 0.118464
5 17 0.124748
5 18 0.130873
5 19 0.136749
5 20 0.142398
5 21 0.147793
5 22 0.152940
5 23 0.157832
5 24 0.162476
5 25 0.166845
6 1 0.009474
6 2 0.018923
6 3 0.028353
6 4 0.037766
6 5 0.047114
6 6 0.056397
6 7 0.065620
6 8 0.074742
6 9 0.083733
6 10 0.092637
6 11 0.101407
6 12 0.110019
6 13 0.118447
6 14 0.126697
6 15 0.134747
6 16 0.142581
6 17 0.150193
6 18 0.157538
6 19 0.164613
6 20 0.171384
6 21 0.177905
6 22 0.184093
6 23 0.189999
6 24 0.195567
6 25 0.200804
7 1 0.011087
7 2 0.022145
7 3 0.033177
7 4 0.044173
7 5 0.055107
7 6 0.065996
7 7 0.076781
7 8 0.087462
7 9 0.098015
7 10 0.108441
7 11 0.118701
7 12 0.128814
7 13 0.138676
7 14 0.148348
7 15 0.157771
7 16 0.166951
7 17 0.175845
7 18 0.184476
7 19 0.192762
7 20 0.200718
7 21 0.208314
7 22 0.215570
7 23 0.222456
7 24 0.228973
7 25 0.235067
8 1 0.012719
8 2 0.025401
8 3 0.038027
8 4 0.050636
